"filename", "language", "JSON with Comments", "Ignore", "JSON", "JavaScript", "Markdown", "TypeScript", "Shell Script", "Docker", "TypeScript JSX", "HTML", "JavaScript JSX", "SCSS", "CSV", "comment", "blank", "total"
"d:\original\TRACNEW2\apps\trac-api\src\app\__tests__\DowloadSpreadsheet.test.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 2, 69
"d:\original\TRACNEW2\apps\trac-api\src\app\__tests__\GetAuditData.test.ts", "TypeScript", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 2, 62
"d:\original\TRACNEW2\apps\trac-api\src\app\__tests__\GetData.test.ts", "TypeScript", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 3, 102
"d:\original\TRACNEW2\apps\trac-api\src\app\__tests__\GetSalesReps.test.ts", "TypeScript", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 2, 68
"d:\original\TRACNEW2\apps\trac-api\src\app\__tests__\StoreAuditNoteOrItem.test.ts", "TypeScript", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 2, 75
"d:\original\TRACNEW2\apps\trac-api\src\app\datastore\DataStoreUtilities.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 3, 31
"d:\original\TRACNEW2\apps\trac-api\src\app\datastore\FileStore.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 3, 5, 45
"d:\original\TRACNEW2\apps\trac-api\src\app\datastore\FindDuplicates.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 2, 3, 56
"d:\original\TRACNEW2\apps\trac-api\src\app\datastore\Settings.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 7, 39
"d:\original\TRACNEW2\apps\trac-api\src\app\datastore\TransformData.ts", "TypeScript", 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 12, 9, 189
"d:\original\TRACNEW2\apps\trac-api\src\app\datastore\UploadManager.ts", "TypeScript", 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 9, 19, 198
"d:\original\TRACNEW2\apps\trac-api\src\app\datastore\UploadStoreManagement.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 3, 3, 44
"d:\original\TRACNEW2\apps\trac-api\src\app\datastore\__tests__\DataStoreUtilities.test.ts", "TypeScript", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 2, 82
"d:\original\TRACNEW2\apps\trac-api\src\app\datastore\__tests__\UploadManager.test.ts", "TypeScript", 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 1, 3, 193
"d:\original\TRACNEW2\apps\trac-api\src\app\datastore\__tests__\UploadStore.test.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 2, 54
"d:\original\TRACNEW2\apps\trac-api\src\app\emails\CreateEmail.ts", "TypeScript", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 6, 14, 122
"d:\original\TRACNEW2\apps\trac-api\src\app\emails\EmailSender.ts", "TypeScript", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 4, 4, 48
"d:\original\TRACNEW2\apps\trac-api\src\app\emails\GeneratePdf.ts", "TypeScript", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 14, 10, 121
"d:\original\TRACNEW2\apps\trac-api\src\app\emails\ScheduleBatches.ts", "TypeScript", 0, 0, 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 0, 21, 19, 289
"d:\original\TRACNEW2\apps\trac-api\src\app\upload\AuditCommit.ts", "TypeScript", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 11, 7, 111
"d:\original\TRACNEW2\apps\trac-api\src\app\upload\AuditTransformer.ts", "TypeScript", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 11, 8, 143
"d:\original\TRACNEW2\apps\trac-api\src\app\upload\UploadAnalysisA.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\original\TRACNEW2\apps\trac-api\src\app\upload\UploadAuditAnalysis.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 3, 27
